Timestamp;ec45_target_rpm;now_ec45_current;now_ec45_rpm
2845000;-23000;-63;0
2857000;-23000;-63;0
2869000;-23000;-63;0
2881000;-23000;-63;0
2893000;-23000;-63;0
2905000;-23000;-63;0
2916000;-23000;-63;0
2929000;-23000;-63;0
2941000;-23000;-63;0
2953000;-23000;-63;0
2965000;-23000;-63;0
2977000;-23000;-63;0
2989000;-23000;-63;0
3000000;-23000;-63;0
3012000;-23000;-63;0
3023000;-23000;-63;0
3036000;-23000;-63;0
3047000;-23000;-63;0
3059000;-23000;-63;0
3071000;-23000;-63;0
3082000;-23000;-63;0
3095000;-23000;-63;0
3108000;-23000;-63;0
3120000;-23000;-63;0
3132000;-23000;59;0
3144000;-23000;59;0
3156000;-23000;59;0
3167000;-23000;59;0
3180000;-23000;59;0
3191000;-23000;59;0
3202000;-23000;59;0
3215000;-23000;-15;0
3227000;-23000;22;0
3238000;-23000;-37;0
3251000;-23000;0;0
3262000;-23000;0;0
3274000;-23000;0;0
3285000;-23000;0;0
3298000;-23000;0;0
3310000;-23000;0;0
3321000;-23000;0;0
3333000;-23000;0;0
3345000;-23000;165;0
3358000;-23000;0;0
3370000;-23000;91;0
3382000;-23000;91;0
3392000;-23000;101;0
3405000;-23000;43;0
3416000;-23000;43;0
3428000;-23000;43;0
3441000;-23000;43;0
3454000;-23000;43;0
3466000;-23000;0;0
3477000;-23000;0;0
3488000;-23000;-15;0
3501000;-23000;0;0
3513000;-23000;22;0
3525000;-23000;-63;0
3536000;-23000;43;0
3548000;-23000;-63;0
3561000;-23000;80;0
3573000;-23000;80;0
3585000;-23000;-63;0
3597000;-23000;91;0
3609000;-23000;-15;0
3621000;-23000;32;0
3633000;-23000;-10;0
3645000;-23000;11;0
3657000;-23000;0;0
3669000;-23000;-85;0
3681000;-23000;-37;0
3692000;-23000;43;0
3703000;-23000;0;0
3715000;-23000;0;0
3727000;-23000;59;0
3738000;-23000;32;0
3750000;-23000;-53;0
3762000;-23000;22;0
3773000;-23000;22;0
3785000;-23000;0;0
3797000;-23000;22;0
3809000;-23000;0;0
3820000;-23000;-26;0
3832000;-23000;-63;0
3845000;-23000;0;0
3857000;-23000;-37;0
3869000;-23000;22;0
3880000;-23000;70;0
3892000;-23000;-63;0
3904000;-23000;0;0
3916000;-23000;-74;0
3928000;-23000;-63;0
3940000;-23000;-85;0
3952000;-23000;32;0
3964000;-23000;22;0
3976000;-23000;22;0
3988000;-23000;-37;0
4000000;-23000;22;0
4012000;-23000;-37;0
4024000;-23000;-37;0
4036000;-23000;22;0
4048000;-23000;80;0
4060000;-23000;64;0
4071000;-23000;32;0
4082000;-23000;-15;0
4092000;-23000;0;0
4104000;-23000;32;0
4116000;-23000;11;0
4127000;-23000;0;0
4140000;-23000;0;0
4152000;-23000;117;0
4165000;-23000;-37;0
4176000;-23000;11;0
4188000;-23000;0;0
4200000;-23000;-26;0
4212000;-23000;-26;0
4223000;-23000;32;0
4236000;-23000;-37;0
4248000;-23000;-37;0
4260000;-23000;0;0
4271000;-23000;-15;0
4285000;-23000;-37;0
4297000;-23000;0;0
4309000;-23000;0;0
4321000;-23000;-37;0
4333000;-23000;-63;0
4345000;-23000;-15;0
4357000;-23000;32;0
4369000;-23000;-63;0
4381000;-23000;0;0
4393000;-23000;-37;0
4405000;-23000;117;0
4417000;-23000;-37;0
4429000;-23000;43;0
4440000;-23000;59;0
4452000;-23000;59;0
4464000;-23000;0;0
4476000;-23000;0;0
4488000;-23000;32;0
4499000;-23000;22;0
4511000;-23000;80;0
4523000;-23000;-26;0
4535000;-23000;59;0
4546000;-23000;43;0
4559000;-23000;0;0
4571000;-23000;-26;0
4582000;-23000;43;0
4593000;-23000;43;0
4606000;-23000;6;0
4618000;-23000;-37;0
4630000;-23000;-37;0
4641000;-23000;-37;0
4654000;-23000;80;0
4666000;-23000;-15;0
4677000;-23000;-15;0
4688000;-23000;32;0
4701000;-23000;22;0
4713000;-23000;22;0
4724000;-23000;11;0
4736000;-23000;0;0
4749000;-23000;43;0
4761000;-23000;80;0
4772000;-23000;-15;0
4784000;-23000;43;0
4797000;-23000;6;0
4809000;-23000;-15;0
4820000;-23000;-26;0
4831000;-23000;-15;0
4843000;-23000;-26;0
4855000;-23000;-63;0
4867000;-23000;-15;0
4879000;-23000;-63;0
4891000;-23000;0;0
4903000;-23000;-37;0
4915000;-23000;32;0
4927000;-23000;-37;0
4939000;-23000;-37;0
4951000;-23000;22;0
4963000;-23000;11;0
4974000;-23000;22;0
4987000;-23000;-37;0
4999000;-23000;11;0
5011000;-23000;0;0
5022000;-23000;-15;0
5035000;-23000;-15;0
5048000;-23000;32;0
5061000;-23000;22;0
5074000;-23000;32;0
5087000;-23000;-26;0
5100000;-23000;0;0
5111000;-23000;-63;0
5123000;-23000;0;0
5135000;-23000;80;0
5147000;-23000;11;0
5158000;-23000;32;0
5172000;-23000;-15;0
5183000;-23000;80;0
5195000;-23000;32;0
5206000;-23000;117;0
5218000;-23000;-63;0
5229000;-23000;22;0
5241000;-23000;22;0
5252000;-23000;22;0
5263000;-23000;0;0
5275000;-23000;-63;0
5286000;-23000;6;0
5298000;-23000;0;0
5310000;-23000;-47;0
5322000;-23000;22;0
5333000;-23000;0;0
5345000;-23000;0;0
5357000;-23000;-26;0
5369000;-23000;80;0
5380000;-23000;22;0
5391000;-23000;22;0
5404000;-23000;6;0
5415000;-23000;-63;0
5428000;-23000;43;0
5440000;-23000;22;0
5453000;-23000;-37;0
5464000;-23000;22;0
5476000;-23000;-85;0
5487000;-23000;-37;0
5500000;-23000;0;0
5512000;-23000;-37;0
5524000;-23000;-15;0
5535000;-23000;43;0
5548000;-23000;0;0
5561000;-23000;-47;0
5573000;-23000;-63;0
5585000;-23000;-74;0
5598000;-23000;11;0
5610000;-23000;22;0
5622000;-23000;59;0
5635000;-23000;-15;0
5646000;-23000;-15;0
5657000;-23000;-37;0
5670000;-23000;22;0
5683000;-23000;32;0
5695000;-23000;59;0
5706000;-23000;-63;0
5719000;-23000;22;0
5731000;-23000;22;0
5742000;-23000;-63;0
5753000;-23000;80;0
5764000;-23000;0;0
5777000;-23000;-37;0
5788000;-23000;0;0
5800000;-23000;6;0
5814000;-23000;11;0
5826000;-23000;-37;0
5837000;-23000;0;0
5850000;-23000;43;0
5861000;-23000;0;0
5873000;-23000;0;0
5885000;-23000;0;0
5898000;-23000;-26;0
5911000;-23000;22;0
5923000;-23000;22;0
5934000;-23000;64;0
5946000;-23000;-15;0
5959000;-23000;22;0
5971000;-23000;-63;0
5983000;-23000;-26;0
5995000;-23000;80;0
6008000;-23000;11;0
6019000;-23000;-26;0
6030000;-23000;64;0
6043000;-23000;-15;0
6055000;-23000;-37;0
6067000;-23000;-37;0
6078000;-23000;91;0
6090000;-23000;59;0
6101000;-23000;-26;0
6113000;-23000;0;0
6124000;-23000;-26;0
6136000;-23000;-15;0
6147000;-23000;-26;0
6160000;-23000;0;0
6172000;-23000;22;0
6184000;-23000;-15;0
6195000;-23000;-26;0
6207000;-23000;-31;0
6220000;-23000;32;0
6232000;-23000;-37;0
6244000;-23000;-26;0
6255000;-23000;-26;0
6266000;-23000;48;0
6279000;-23000;70;0
6292000;-23000;-85;0
6304000;-23000;-100;0
6315000;-23000;22;0
6327000;-23000;-63;0
6339000;-23000;32;0
6350000;-23000;-15;0
6360000;-23000;11;0
6372000;-23000;32;0
6384000;-23000;0;0
6396000;-23000;-31;0
6408000;-23000;-63;0
6420000;-23000;43;0
6431000;-23000;0;0
6442000;-23000;0;0
6453000;-23000;0;0
6466000;-23000;6;0
6478000;-23000;59;0
6489000;-23000;59;0
